Row	ilvI	lysC	anr	atpA	cdrA	wspR	nirS	norB	nosZ	amrB	mexB	mexF	TriC	algD	pelA	fadB	ackA	arcA	pilA	fliC	clpX	ftsH	htpX	lon	napA	dnr	narG	pyrG	truB	ahpF	gshB	katA	katB	OxyR	sodM	sodB	PA14_48930	gpD	lasI	lasR	mvfR	pqsC	pqsH	rhlI	rhlR	fnr_2	dnaA	rpsC	suhB	rne	pnp	rho	rpoA	pchF	phzE1	phzM	pvdF	fliA	rpoH	rpoD	rpoN	sigX	rpoS	recA	impC	vgrG	aceA	sucC	ccoN1	ccoN2	ccoN4	ccoN3	coxA	cysA	gltB	pstS	ptsP	rbsA	spuD	uspA	uspM	aprA	exoT	exoY	hcnC	lasA	pcrD	pscC	rhlA	vfr	lasB
ilvI	0.946631978901477	0.305933234164607	0.143427943793809	0.369409439155858	0.296235778568258	0.168493198783707	0.108374082747068	0.0426493092138547	0.116733015379257	0.254947747801552	0.0288965261666492	0.0700343874623644	0.27949532869948	-0.0287520923521962	0.0994422709947956	0.161648549030623	0.191412392010451	0.285757569723611	0.269145429107786	0.142246674545006	0.242232285352851	0.210892439205592	-0.000742045519616858	0.0641236093767426	0.213413271874867	0.371304164366555	0.392778059883541	-0.0333208975466584	0.372285399153381	-0.071986806154426	0.449190843950905	0.136911830000178	0.0104359951719812	0.283030541765684	0.345267267113041	0.277044086082443	0.490056998226824	0.1528991311268	-0.0231808541198492	0.269677341834819	0.51108756874799	-0.0322423057718878	0.261275616162989	-0.132227719752466	-0.201636973998722	0.162777174207942	0.178581879945665	0.111819420640212	0.577200569740329	0.139808147016485	0.289573660179716	-0.0624191959896216	-0.00282920305816713	0.332416787140039	0.52260096405166	0.234620649486141	0.253792758109755	0.377784973930583	0.168393932846893	0.386387703094421	0.926353900499037	0.0662718259494416	0.739342259002165	-0.0803091931718725	0.63267597158387	0.0310091044269558	0.134391505113026	0.110414589038047	0.258602038447878	0.331890061379961	0.100020631092836	0.614757846006754	-0.0732438776011209	0.12760173045316	0.315939964787922	0.461914141318345	-0.0486077888377069	0.698828593658068	0.364329379447067	0.425095057304078	0.376700157070781	0.131953371678482	0.327706308956386	0.206544202815841	0.376837344997951	0.143335937908965	0.234810069242079	-0.0379573079452643	-0.169793588325841	0.428327870883055	0.438592185845534
lysC	0.308133335622089	0.378000125385859	0.178971252659238	0.151404175185569	0.177696378033499	0.171838922528038	0.153384364420015	0.192794612337449	0.178344126316316	0.0667265908489866	0.0467785584253493	0.115729644595015	0.124126711428331	-0.0356999567517559	0.101630182742922	0.0982104858369653	0.20813015423025	0.187200321574007	0.139405004615792	0.0766751429731398	0.205619942327419	0.186548309403909	0.0993335694193844	0.123622809234665	0.0713924581157515	0.186419218483703	0.242690882306633	0.0782698937900568	0.179465203855365	-0.0119585000091505	0.191735658199486	0.0860904507390193	0.0366768965618232	0.214130440066456	0.130409867633688	0.140030931511572	0.178724745357343	0.0295544701863038	0.0621392220533072	0.111953648138463	0.304052675666223	0.139314331521064	0.242252385261198	0.0317325127058326	0.010826476552808	0.134683179939971	0.12197662295536	0.120476718997282	0.213695625918234	0.0378402765939514	0.170157665195345	0.0951626967478218	0.0779119108679869	0.25328456726814	0.226418613412723	0.207582309389881	0.189251588438305	0.0903625214679388	0.0045592442969347	0.260795390448685	0.299081986732328	-0.0128605196725957	0.271380154747836	-0.00684050063442857	0.253480159944564	0.0258902762540415	0.0689344841961688	0.0510945965834579	0.190834993717105	0.158312930329506	0.200557079083687	0.29915973446837	0.0678180317930139	0.0498554272637399	0.149098554250997	0.187749692529385	0.0397683370917533	0.256329511574136	0.181213010033608	0.243221224843171	0.218243376570317	0.0706888225616303	0.0944041080927025	0.000520228562037838	0.175017967830857	0.0757633215433477	0.124590251988549	-0.0131530969195966	0.129649099395634	0.156213143335918	0.116138809186937
anr	0.145994808019424	0.189099746525221	0.452204873040282	0.208858487554872	0.0847258940213996	0.0812111653291313	0.139759588200378	0.124152771114981	0.177578603439533	0.0622218530575126	0.125653906225078	0.0810361035202275	0.0852817334866134	-0.0294286608594732	0.121179696997887	0.086949920470372	0.145786460882774	0.102944644474807	0.0367795634736513	-0.00230475013046992	0.136233015784868	0.142255324456314	0.00102627754047982	0.318794679799807	0.0642230746629294	0.153979508126606	0.151714443966602	0.047158729793339	0.150436001987144	-0.0326904169966983	0.116078359415259	-0.0010426797674417	0.0255527075941624	0.104985033590135	-0.0180111951105179	0.107796699804472	0.133790978908451	0.224047591847488	0.125134232707609	0.133476970907116	0.395422518225386	0.22109686430838	0.19757582852601	-0.01143959492768	0.0133193561074813	0.0780569001632563	0.0437903098450065	0.0841280002463689	0.0875332884290611	-0.0667722399047325	-0.028943042286671	0.0547663803969242	0.0202424689923842	0.113857752540505	0.213414018152997	0.0754872371123458	0.0697040987040219	0.0879806981320022	0.0284877467931635	0.188092562599906	0.15390171036373	-0.0340504385628043	0.132437080986972	-0.0209321895726217	0.181220964219728	0.00110226643070545	0.0844761149600619	-0.077472195055553	0.168348350743066	0.137151880105792	0.167501161335523	0.18755937017904	-0.128721661457101	0.0440706133628035	0.379605135541855	0.13097733632534	0.0468466212479254	0.146067750377475	0.0491060120103081	0.105377180228185	0.116483336960844	-0.0313695795818581	0.0292874277515395	-0.00829099296420079	0.15938015675059	-0.0110546938246843	0.0898562842669499	0.00927952316600377	0.0519832363810802	0.0620173863293589	0.039001023648341
atpA	0.11001897818691	0.0754319485276719	0.0694509317425572	0.163287123001172	0.0731491803450272	0.0446004669437377	0.00124882998433485	-0.00822123396056431	0.00845593147414881	0.097590846155885	0.0398745570290018	0.0383148991891546	0.065382963585627	0.00263931554984979	0.0481025263673251	0.0299772568961191	0.0161045067328122	-0.01051542542589	0.0168512916152177	0.0519941639071229	0.0403091448080432	0.023635035262373	-0.0464976849951033	0.0338312523412432	0.0171351356537161	-0.00620928425690425	0.0406291201589085	0.0672756142209961	0.0850799022712592	0.00353703453171996	0.0347697782337264	-0.0758713781993243	-0.0703723810224112	0.0391914514830968	-0.0611830280423813	0.0600625023065831	0.0578040620929392	0.00100166920912436	-0.0221420602583148	0.0252768327751919	0.0575702543944963	0.0418287818172636	0.0539595360386517	0.0436350468226723	0.0329941982316575	0.0280942637183301	0.0917077188259724	0.117134398881674	0.0468729313096394	0.0685109777093831	0.106639262372746	0.0876951952169728	0.0886267769102038	0.0445316202027588	0.0778764643732505	0.0755677045979532	0.0784860264108663	0.0172277191957355	0.0474371663518941	0.0244994902245685	0.085692220340213	0.0408162141036888	0.0721734959131639	0.020899160047202	0.0462489847350229	0.0260341068873502	0.0309604832479016	0.113317319011811	0.121779899532623	0.0130324552838626	0.0639834436249379	0.0731238037838465	-0.00497266368117901	0.0157559542680807	0.0572730655672607	0.0561003020703287	0.031976849260528	0.0885828696412063	0.0657166815894001	0.00147656500058021	0.00882127827910516	0.0241188495001648	0.0261109823054849	0.038063805167249	0.05883626131115	0.0243828095606805	0.0204779980852811	0.040782328336185	0.0429630874031057	0.0697317660755821	-0.0160594177637536
cdrA	0.240608850051296	0.134523598219474	0.102526704429581	0.135165450841696	0.406302833260029	0.0641205225679956	-0.0724371811214855	-0.0923029554660809	-0.058849500753304	0.106699231286504	0.0244565772491271	0.0108271337499974	0.0914274318997015	-0.0666515441039351	0.112286683844981	0.05989572469166	0.0360613479738627	0.0376769907037713	0.0188378662683975	0.100463586345971	0.113132933080133	0.0320701980603174	-0.12270441326925	0.0196476376949027	0.0825655991141981	0.0111312699890065	0.0265745330629832	0.0297163750704185	0.170788542912594	-0.046999526058688	0.102874436769178	-0.178318832470475	-0.157637328144978	0.0897287580304592	-0.0532912175320942	0.0836072215356787	0.196214026879268	0.0717166606593531	-0.115469450437723	0.0750915430255149	0.174325806785292	0.0499047091679231	0.0951417553209261	0.0507194513943347	0.0508807268172211	0.0221041181767035	0.126299896865351	0.109140819100798	0.1708595725873	0.0793353031104784	0.17240595465787	0.0989844734257729	0.0652852154724165	0.0834470072656709	0.196206579542828	0.1387223068483	0.129931145508023	0.0673137495420903	0.0516858068511251	0.0487794823776891	0.226150625902277	0.0917546744708316	0.150330071296504	0.00989824861396057	0.192806212418991	0.064571738129298	0.0355304988085177	0.113320819057111	0.177216184443643	0.00762377579267756	0.0409672873243925	0.171171911251447	-0.129568822232248	0.0628292957858039	0.173875322275255	0.138445608589643	0.0215622202965167	0.232109111608108	0.135642794350401	0.0513205759829072	0.0668499538804599	0.0754445074342694	0.113815859376154	0.105481616985765	0.144889385151404	0.0894430394147686	0.0626677134604163	0.0464937645523927	0.070696713970586	0.157073782795566	0.101980028884119
wspR	0.333654080561961	0.233883744529122	0.101662131093379	0.18738787054753	0.121516370173668	1.48048420771317	0.1917290340737	0.135908611353893	0.25444624202097	0.0728716154681628	-0.101456932708239	0.0643448246084997	0.116175633256259	0.094828843123777	0.0345364250118512	0.0790973541609466	0.0736749568920368	0.229997462619712	0.225007997165331	0.00458719598016988	0.18811597338311	0.216507832238523	0.075112732649962	0.105807964851232	0.138421565500279	0.21614494475359	0.375689725730359	0.0117962958860866	0.381236586033879	-0.0947411643994217	0.274614963517439	0.109452668856353	0.116208745129929	0.222034040672822	0.220558874510954	0.304669611056252	0.250916832187403	0.186339304777277	0.107501752866846	0.210173573179176	0.24723290546614	0.108325009565892	0.258316537234647	-0.0771560197658396	0.0644551595558194	0.193855773446788	0.142929294970379	0.129260076763778	0.226935594131101	-0.0175377621468416	0.0993781773229032	0.0776747848054544	-0.00783234328386619	0.27186830043857	0.145679240291318	-0.0642447073956946	0.133166077015163	0.124031117397554	-0.042968375646544	0.31829167299332	0.415976201411893	0.0662082623735194	0.331127380798731	0.170467592806483	0.303878220074337	-0.0114442584066443	0.00860635718813469	0.253645393490132	0.148061863744071	0.249242706066621	0.214313483825678	0.268691647199731	0.167918295919988	0.10556634281594	0.132177781020213	0.227772996841343	0.0486726910359264	0.274506633705101	0.145380285962978	0.44515391634767	0.288116516545301	0.084863813232395	0.0962382289210393	0.0772598710439781	0.28638956332762	0.0154079416585238	0.0405918694590151	-0.00330632936007445	-0.0940810069507151	0.267418068746455	0.338873282232645
nirS	0.14215942283571	0.147895342460662	0.249488903904034	0.0677973470819379	-0.0998787332403204	0.167423549421344	1.50016548970359	1.35537262445307	1.17502827903637	-0.0874274664867943	0.434025065374624	0.454949936002265	-0.0428988763451305	-0.148534174703768	-0.213607332669653	0.179848120605917	0.827489964203505	0.943275551001407	0.0715844658125427	-0.019996558907461	0.578636034165424	0.90747595055078	0.963300852153591	0.568680735940622	0.267344482195457	0.958168542530434	0.89500330950139	0.016577331173573	0.0529683056395525	0.271065413054411	0.432065328045075	1.24425795439473	0.923219095372351	0.192438452912107	0.861229053898355	0.099123526664699	0.205758239138129	-0.0869284576525229	1.07198124613449	0.185854965969606	0.228189766651483	0.100765016580959	0.178444859180862	-0.381594782569362	-0.297984689858821	0.226377951877573	-0.00913132990533525	-0.1409531154506	0.095937466538129	-0.455910226540573	-0.177523096559445	-0.296027273904332	-0.222293612021633	0.840281074886285	0.0342999805466574	-0.0144272789288492	-0.423859881991439	0.64566010856046	-0.0118878600561888	0.667830692885601	0.346388752932481	-0.48188556123929	0.320186952083325	-0.0215482808186881	0.413629390655051	-0.212132923589616	0.259376326111796	-0.516641195843859	0.0962477267617691	1.13628142539114	0.702543930766459	0.144896177758464	-0.169805923379286	0.146409492544328	-0.320839176204797	0.279066833288137	0.072160919618307	-0.0682679777757453	-0.0813913637177717	1.04014990078861	0.923287582843414	-0.370045614733114	-0.00272296449184902	0.0023480263726248	0.250224662549764	-0.183944501546704	0.287801472584159	-0.325160068376119	-0.362684150772974	0.166549192161816	0.186434160358394
norB	0.0334198244977878	0.20796479830116	0.275978425727437	-0.00664084812404976	-0.109304972401289	0.136513232942548	1.52297131813513	1.68197665613536	1.32496225120137	-0.0962003178577686	0.536886748108731	0.527840926188905	-0.108001572093088	-0.231925549747199	-0.228580472897376	0.197894854168645	0.880337189675075	0.87853692449486	0.0243549179745473	-0.0156224870006812	0.708940260139563	1.03759017799046	1.18515414340701	0.768744250286059	0.261687730589104	1.01347069306899	0.944811532337721	0.161613477965723	0.0630876568427691	0.316134856690824	0.459075685094346	1.45943152558854	1.13318317278353	0.228302322452457	1.02891144661796	0.124962229920801	0.202494185909435	-0.16560416410174	1.22409427645851	0.195650089183132	0.152885253157548	0.164816759060638	0.174806749107687	-0.406768755590552	-0.305909172378708	0.286953220698333	-0.00329850472619226	-0.200195437863336	0.122140951791082	-0.568332349077877	-0.244875679726518	-0.324166144893819	-0.332038557828439	0.996000748838697	0.0440606693139195	-0.0467032754384895	-0.4236881750204	0.681062319863269	0.0460729940275685	0.817338115588405	0.249032832293225	-0.569395226020442	0.299870313969126	-0.0415707038615207	0.370241318544832	-0.266183645444484	0.332075126551831	-0.619373369336973	0.103033823499777	1.13767275270127	0.775075715652661	0.240013184277482	0.290911304304204	0.14207933503654	-0.451316804942127	0.278357848455335	0.0544069768184629	-0.192545952157329	-0.15134459439565	0.94245771449613	0.907239463112096	-0.445117509881769	-0.0514728662760174	-0.0701222658657319	0.10772800404751	-0.301263436154322	0.307204754364309	-0.379472838981241	-0.403582781621216	0.1579370602029	0.230479318789741
nosZ	0.127920178254222	0.257092164016133	0.28378281594238	0.122849419863822	-0.0397378316394091	0.181427192931588	1.29837553846635	1.28598476477928	1.47027574013146	-0.145357535907815	0.352943023540119	0.459293499974626	-0.036978872023112	-0.154086444551736	-0.1300961351363	0.232807615260438	0.80379682086365	0.804421991648523	0.0498706665974401	-0.0119678247092825	0.663270116111055	0.928682244102679	1.02561880669377	0.68673116850042	0.245846619331895	0.980385910744027	0.865488427181147	0.0609367249655309	0.0910081577392543	0.181511586286047	0.473534545776936	1.18515357406218	0.916139071283918	0.15846282376273	0.811552817253338	0.0863983397271879	0.186122143336174	-0.146302565672965	1.0744220049366	0.1550553828593	0.253647330814572	0.133392935763099	0.218321259125255	-0.34744960449597	-0.294446780912867	0.239756196211725	-0.0029768705606964	-0.096882994034184	0.168191353226785	-0.53304246381592	-0.200049153035871	-0.179969226438115	-0.302888399086563	0.899363316589075	0.148272556354549	-0.0721081671411443	-0.388506358537548	0.556529439977285	0.0439806254125331	0.679176028898352	0.349540860621752	-0.446225466712727	0.296752234611064	-0.0788929993765288	0.43213713374329	-0.2105174640184	0.288633506290811	-0.468247465737096	0.168925087753284	1.04623965655213	0.693084328400019	0.277519265031704	-0.0210000013215262	0.0967732283861655	-0.467104961476943	0.310362566336379	0.0408622256587187	-0.108081194200157	-0.163239059777706	0.881426744047405	0.870848039613153	-0.324747037911636	0.0038079022316058	-0.0229909004481442	0.149388137706686	-0.257206010262754	0.368714210899766	-0.310077909456473	-0.360522861860109	0.13226527302058	0.180553631369041
amrB	0.206587965007234	0.14954338395258	0.114219055378823	0.245834837494299	-0.0304512960884958	0.0468058312714859	0.0724114784923467	0.0644709072920599	0.0311220604766041	1.14476276024739	-0.073122958486328	0.077402155641765	0.0736086226287019	-0.212838537953092	0.0664723836566137	0.0965411500480727	-0.018696744242229	-0.0583584778707838	0.115744338325265	-0.0267028612714777	0.204017251833831	0.110512317522485	-0.00646722185320944	-0.0183573399973118	0.0294177104616114	0.123890001134955	0.0270909758808447	0.106988507037345	0.124877545053243	-0.0176388850492819	0.0227299593409043	-0.0710654153511889	-0.108372071197928	0.0931998065445487	0.0250790068317463	0.0781056784198827	0.144886829193882	0.0492918175854941	-0.0561320219063121	0.0871491325178129	0.121591250861437	0.0521692709646597	0.0519249931518003	0.00455185912533232	-0.0169100856955436	0.0604753974229769	0.218072337691159	-0.00944494368806466	0.137739421441625	0.0499974943809604	0.0113772620215449	0.162963113478404	0.0915509211409076	0.0676653802557989	0.0450613315082468	-0.0406617987421513	0.154293838711093	-0.101126972241089	0.170892798839704	0.234382209838582	0.228839868589229	0.0195231906009892	0.28876904224878	-0.140325353701968	0.142085012806351	0.0583738254249498	-0.0404859603826552	0.224838130178189	0.0663942098553597	-0.000919726115575929	0.127943817773907	0.00810694988973536	0.319139857182027	0.0470517392680945	0.160486076183669	0.000490921662834004	-0.0281945097309001	0.175890903009365	0.250241698057656	0.190762694140835	0.086047591224476	0.189094218227756	0.106725617946373	0.017209876033578	0.140656757470589	-0.0170520743608003	0.173557193107794	0.0289000971849032	-0.0879419077836311	-0.018855786045807	0.162465872591922
