	0_n	0_l	0_p	1_n	1_l	1_p	2_n	2_l	2_p	3_n	3_l	3_p	4_n	4_l	4_p	5_n	5_l	5_p	6_n	6_l	6_p	7_n	7_l	7_p	8_n	8_l	8_p	9_n	9_l	9_p	10_n	10_l	10_p	11_n	11_l	11_p	12_n	12_l	12_p	13_n	13_l	13_p	14_n	14_l	14_p	15_n	15_l	15_p	16_n	16_l	16_p	17_n	17_l	17_p	18_n	18_l	18_p
0	pnp	2.202436	0.0	rpsC	3.632831	0.0	lasB	3.225214	0.0	lasB	0.005978735	0.5874229557062598	rhlA	2.7109015	0.0	aprA	3.5405383	0.0	nirS	2.6663952	0.0	nirS	4.249801	0.0	norB	5.6795664	0.0	pscC	7.1749353	0.0	recA	1.673119	0.0	rpsC	3.2682676	0.0	fliC	3.0071356	0.0	impC	5.7269144	0.0	coxA	5.919934	0.0	rbsA	8.292492	0.0	fadB	2.9102075	0.0	gpD	10.409282	0.0	cysA	5.591573	0.0
1	sigX	1.9800957	0.0	rpoA	2.759436	0.0	sodB	1.2831166	0.0	cdrA	-0.0123315025	0.39829178089360384	lasA	3.0130641	0.0	rhlA	2.9571826	0.0	norB	3.561393	0.0	pqsC	3.764478	0.0	nirS	5.107935	0.0	sucC	1.5272765	0.0	napA	2.9707258	0.0	ccoN3	7.206524	0.0	lasB	1.0438302	0.0	lasB	1.5816449	0.0	lasB	1.4709265	0.0	pvdF	3.570767	0.0	fnr_2	1.9732306	1.2670853772565657e-81	recA	3.3856933	6.95321738077882e-209	lasA	1.7731148	7.992102084082072e-68
2	gltB	1.2998744	0.0	atpA	2.8081715	0.0	gltB	1.1704054	0.0	ampC	-1.8236449	2.7307196526091417e-25	aprA	2.36364	0.0	sodM	3.9460583	0.0	ftsH	2.337042	0.0	atpA	1.958062	0.0	nosZ	4.8975143	0.0	rpsC	1.6535354	0.0	lasB	0.8043447	1.3361268976193633e-234	atpA	2.939635	0.0	cdrA	0.19656454	1.5713464512150781e-09	gltB	0.68937016	3.109847490947855e-137	cdrA	0.804022	1.0643013727231023e-81	rpoN	2.4587235	0.0	ampC	0.14315419	0.8016158712948137	hcnC	1.0003936	4.0282591797852793e-17	rhlA	1.4036989	1.1496375187563674e-64
3	rpoN	1.6288697	0.0	sucC	2.7498348	0.0	cdrA	1.8503234	0.0	PA14_48930	-1.8116091	4.74736533189371e-102	sodM	2.1268098	0.0	rhlR	2.8294415	0.0	rpoN	1.8753146	0.0	ccoN2	4.759345	0.0	phzE1	2.8036957	0.0	rpoA	1.481532	0.0	algD	3.0191758	3.3380345829068324e-56	rpoA	2.5860126	0.0	gltB	0.035973005	0.09478971270170251	kgtP	3.7026808	1.8529647820073203e-120	napA	1.6321923	5.67245765922106e-73	pnp	1.7735327	0.0	cdrA	-0.085172445	0.08948545277129612	algD	2.98492	2.449901515423873e-09	aprA	1.2072893	1.05298195954965e-40
4	rpoA	1.2318587	0.0	rne	2.0627983	0.0	phzE1	1.2295934	0.0	pelA	-2.413867	8.050674982830846e-234	rhlR	1.6180682	0.0	lasA	2.671863	0.0	nosZ	3.1962173	0.0	rne	1.9514409	0.0	sodM	3.2704377	0.0	atpA	1.4483222	0.0	cdrA	-0.0028813828	0.9247654041981997	sucC	2.694929	0.0	napA	-0.25828496	0.00044867824196451	phzE1	0.83912873	5.42676010045229e-116	rpoS	0.20408092	8.895450728618294e-18	sigX	1.6017282	0.0	pelA	-0.4846344	0.04244910607579779	relA	0.7870107	8.852588341777363e-09	sodM	0.9164845	2.41682729833011e-20
5	rpoH	1.1451874	0.0	sodB	1.8492312	0.0	rpoS	0.66096723	0.0	vgrG	-1.464144	4.0607397509490035e-269	rpoS	0.47344902	0.0	pchF	3.2025414	0.0	uspA	2.6131737	0.0	rpsC	1.818235	0.0	rpoS	1.9290804	0.0	rne	1.2622027	0.0	ampC	-1.5369747	4.708913702451324e-07	rne	2.1265838	0.0	PA14_48930	-1.1916126	1.1999309558783498e-06	cdrA	0.84483635	4.269242710626902e-84	katA	0.38699567	4.0594006506900615e-12	gltB	1.3397682	0.0	PA14_48930	-1.302592	3.3965584463758057e-06	lasB	0.4113849	2.3472952798989492e-07	rhlR	0.72873205	4.2416246927303457e-16
6	pvdF	2.2484863	0.0	pyrG	1.8505753	0.0	lasA	0.75586516	0.0	mexF	-2.5978699	0.0	pchF	0.4835178	2.9405967502876336e-152	rpoS	1.5779492	0.0	clpX	1.3629234	0.0	hcnC	3.1961715	0.0	pchF	3.223336	0.0	exoY	5.34854	0.0	gpD	-0.5650923	8.261278743683201e-09	sodB	1.9096415	0.0	ampC	-2.6129596	1.4146824699596704e-15	sodB	0.44885692	4.7327610075057537e-60	sodB	0.100842334	0.00018593285646460072	clpX	1.281718	0.0	mexF	-1.3852929	1.064418300727838e-10	truB	0.5431355	1.5371989274804681e-06	ampC	0.22260003	0.886477103320209
7	rho	1.6728346	0.0	rpoD	2.1068926	0.0	ccoN4	0.96918994	0.0	algD	-3.5617878	0.0	arcA	0.53299755	6.589808278890203e-102	exoT	3.469635	0.0	rpoD	1.6933267	0.0	pilA	2.1019475	0.0	pqsC	2.6824684	0.0	ccoN1	1.5562625	0.0	relA	-0.30586496	1.7688477707301637e-15	aceA	2.9831696	0.0	katA	-0.6166033	1.4633895553383066e-41	lasA	0.55860806	5.27314533122758e-50	lasA	0.10520214	0.004040810717644295	ilvI	2.1223905	0.0	katA	-0.5054384	5.115744901123645e-14	rpoH	0.28091526	5.9752237656722216e-05	algD	-0.69455975	0.19344509279231403
8	rhlI	1.6031632	0.0	pilA	1.9429017	0.0	katA	0.78779465	0.0	pstS	-1.5466442	0.0	pvdF	-0.023887092	0.21511327978807895	lasB	0.85450506	0.0	pnp	1.3939452	0.0	rpoA	1.3930573	0.0	aprA	2.2223384	0.0	clpX	1.0515875	0.0	katA	-0.3406217	3.8155936173562075e-16	ccoN1	2.4201212	0.0	algD	-2.1607978	7.066222067095312e-42	ccoN4	0.5561451	3.6351792557567186e-31	amrB	0.30320308	0.027601737252682078	rpoH	1.1316019	0.0	algD	-1.9495476	9.213622393184013e-16	OxyR	0.48802784	7.749243782789862e-05	pchF	-0.1877962	0.1098843616972767
9	mexB	1.3869247	0.0	ccoN1	2.1878827	0.0	napA	1.1662414	3.7477641556330914e-286	lasI	-1.3233559	0.0	uspM	-0.07150495	0.031889788228161145	impC	2.3702457	0.0	katA	2.769377	0.0	sucC	1.5120716	0.0	rhlR	2.1352084	0.0	pyrG	1.1603305	0.0	PA14_48930	-1.4598494	7.161969251210392e-17	coxA	5.8140345	0.0	sodB	-0.2842555	3.754369705030183e-42	katA	0.61609787	2.1586539179511757e-27	lasR	0.10134161	0.03556860234138613	suhB	1.5126027	0.0	lasB	-0.38851824	3.424694815670118e-24	cdrA	0.38491926	0.00013480057490961633	lasB	-0.12210116	0.07849983467159867
