locus_1	algD
locus_2	pelA
locus_3	pslG
locus_4	atpA
locus_5	rpsC
locus_6	suhB
locus_7	rpoA
locus_8	dnaA
locus_9	cdrA
locus_10	wspR
locus_11	amrB
locus_12	mexB
locus_13	mexF
locus_14	TriC
locus_15	ilvI
locus_16	lysC
locus_17	nirS
locus_18	norB
locus_19	nosZ
locus_20	napA
locus_21	narG
locus_22	anr
locus_23	dnr
locus_24	fadB
locus_25	ackA
locus_26	arcA
locus_27	purF
locus_28	pyrG
locus_29	truB
locus_30	aceA
locus_31	kgtP
locus_32	sucC
locus_33	flgK
locus_34	fliC
locus_35	pilY1
locus_36	pilA
locus_37	PA14_48930
locus_38	gpD
locus_39	clpX
locus_40	ftsH
locus_41	htpX
locus_42	lon
locus_43	lasI
locus_44	lasR
locus_45	mvfR
locus_46	pqsC
locus_47	pqsH
locus_48	rhlI
locus_49	rhlR
locus_50	rne
locus_51	pnp
locus_52	rho
locus_53	phzE1
locus_54	phzH
locus_55	phzM
locus_56	pchF
locus_57	pvdF
locus_58	algU
locus_59	fliA
locus_60	rpoH
locus_61	rpoD
locus_62	rpoN
locus_63	sigX
locus_64	rpoS
locus_65	recA
locus_66	relA
locus_67	spoT
locus_68	uspA
locus_69	uspM
locus_70	fnr_2
locus_71	ahpF
locus_72	gshB
locus_73	katA
locus_74	katB
locus_75	OxyR
locus_76	sodM
locus_77	sodB
locus_78	impC
locus_79	vgrG
locus_80	ccoN1
locus_81	ccoN2
locus_82	ccoN4
locus_83	ccoN3
locus_84	coxA
locus_85	cysA
locus_86	gltB
locus_87	pstS
locus_88	ptsP
locus_89	rbsA
locus_90	spuD
locus_91	hcnC
locus_92	rhlA
locus_93	vfr
locus_94	aprA
locus_95	lasA
locus_96	lasB
locus_97	exoT
locus_98	exoY
locus_99	pcrD
locus_100	pscC
