cell_id	cluster	MajorAxisLength	total_DNA_median	total_rRNA	total_mRNA
1	3	17.65862468	566	1250	25
2	3	12.92438962	483	1257	16
3	3	9.025595765	679	931	7
4	4	11.32797848	646	1258	5
5	8	18.76095041	633	794	7
6	0	14.40229655	890	942	41
7	0	19.74151301	779	1228	77
8	8	8.666645194	702	351	7
9	4	17.89843079	494	678	16
10	4	10.62819659	759	1891	6
11	4	23.10073978	550	507	17
12	15	10.40287701	603	1887	16
13	13	9.383135573	663	852	10
14	4	9.162444521	661	1109	8
15	4	11.95398122	787	638	7
16	3	16.80157464	631	1048	99
17	2	12.74647788	904	899	13
18	4	11.03057577	489	410	4
19	14	16.83786521	650	768	10
20	13	12.22316767	716	1221	10
21	2	18.72412175	867	819	20
22	9	12.19164009	618	894	8
23	8	8.692411105	689	979	7
24	10	9.593368005	693	1661	11
25	15	16.24347601	858	1413	46
26	5	11.79069888	785	2146	101
27	1	15.7719654	777	1000	46
28	0	10.32073001	646	1644	38
29	8	9.344510382	778	1019	8
30	4	8.256036176	704	733	9
31	2	18.54263546	740	709	34
32	18	10.31896449	693	867	21
33	0	14.07683035	896	1518	65
34	2	11.21994561	852	1059	23
35	2	11.66233186	853	2746	29
36	17	11.3172072	645	507	38
37	3	15.73605318	597	1120	77
38	2	13.29253623	904	1088	29
39	13	12.11113703	845	1182	45
40	5	22.2751244	933	1076	45
41	4	7.945743801	738	1454	12
42	4	14.08196875	682	669	4
43	12	13.87804214	915	1343	22
44	9	9.956409463	669	711	5
45	3	17.91583372	767	1161	24
46	5	10.49879862	867	1899	63
47	4	12.15067337	542	1041	9
48	4	10.275281	726	258	6
49	2	14.1915612	891	945	54
50	3	8.754836735	685	520	6
51	3	9.879256177	668	1132	15
52	8	12.68638345	791	796	11
53	2	10.5316184	814	889	30
54	10	7.69358344	728	948	10
55	7	11.19217458	852	1076	49
56	4	11.04202629	900	1132	7
57	7	13.85668678	915	1139	54
58	0	20.59812486	872	973	82
59	0	14.22601575	885	852	28
60	4	10.90448266	701	608	7
61	9	11.65319192	523	811	6
62	8	12.59167987	785	1101	5
63	14	10.93812596	735	828	8
64	0	17.18267895	924	1785	48
65	0	12.65994784	985	1336	54
66	5	15.03876026	933	1501	69
67	18	10.63766477	810	872	16
68	2	12.19349771	901	970	36
69	4	9.938024264	699	795	6
70	9	12.38043202	789	948	16
71	5	15.27192982	920	947	16
72	0	16.99485838	868	921	53
73	13	11.10851442	857	731	10
74	0	13.76722969	903	1402	41
75	2	10.9344494	923	1109	18
76	2	14.79478325	864	1029	39
77	2	12.1732959	849	1494	19
78	2	10.62253633	838	612	14
79	2	11.34941881	883	908	19
80	2	10.75541877	649	1206	20
81	12	17.26144194	925	1574	82
82	4	9.282430825	691	622	5
83	2	11.63077996	686	1594	22
84	0	14.40236432	849	861	73
85	4	13.76795951	698	1083	6
86	2	12.95599954	944	906	32
87	4	8.643844595	687	834	6
88	4	11.86493686	446	675	4
89	7	12.75329909	945	1261	82
90	1	12.45731346	868	894	21
91	4	9.675742064	810	922	7
92	9	9.90485399	505	835	8
93	7	11.76406284	794	884	28
94	3	9.353794375	657	1554	10
95	2	11.88992074	643	1574	10
96	14	7.969639359	813	473	6
97	0	18.70709766	922	991	45
98	8	9.48542742	770	976	13
99	2	12.20096011	867	1206	17
100	5	15.96504847	778	1021	71
101	9	10.43678719	827	646	15
102	2	14.45857632	556	269	4
103	4	12.96643581	865	596	7
104	4	13.09491529	820	753	11
105	4	9.967919443	732	714	15
106	6	12.96433665	813	1352	22
107	4	8.381704487	788	928	11
108	14	14.96880484	661	1045	20
109	13	13.81955968	547	587	6
110	0	16.28167219	970	1061	83
111	4	9.714622708	783	331	7
112	2	14.27957336	970	1514	33
113	4	10.66428266	736	942	16
114	16	9.662636111	706	1064	14
115	5	15.36831252	874	1533	82
116	9	10.11050059	563	955	13
117	17	16.63297748	779	857	20
118	4	9.78830285	744	1218	16
119	17	9.269579443	764	1247	13
120	4	8.250360014	768	745	12
121	4	9.356591319	712	902	12
122	2	15.33351897	970	970	59
123	4	10.47935371	764	895	8
124	0	15.94099611	946	1803	51
125	4	9.506305531	861	1029	9
126	4	8.632222239	674	1483	6
127	2	9.20867956	691	703	7
128	0	13.73102195	870	1264	105
129	9	9.612468754	683	689	8
130	16	13.56441385	716	1212	10
131	9	8.964288067	670	288	5
132	3	9.065408006	830	1359	24
133	7	26.9463526	791	1114	139
134	4	9.28612909	826	357	4
135	1	17.77168318	782	1052	52
136	7	16.65126735	960	1057	59
137	2	16.34978235	712	1805	52
138	4	14.27606739	569	529	4
139	2	11.1980824	566	1453	19
140	5	22.22402388	877	1038	120
141	9	14.44609672	863	810	8
142	4	12.38702628	845	522	7
143	8	8.769936314	703	732	6
144	14	14.01472991	750	1241	34
145	16	8.950715087	653	1890	5
146	2	13.2669164	915	1285	54
147	2	12.09605272	608	1006	11
148	9	13.90664687	715	1899	32
149	2	10.75266301	732	1455	27
150	4	10.28390031	600	470	5
151	1	18.20978389	792	628	61
152	2	12.61749176	777	949	23
153	0	16.37925593	841	1235	90
154	12	10.9765762	649	2314	30
155	14	8.651721338	813	810	17
156	12	14.83812957	878	1395	323
157	1	12.50192813	771	851	96
158	2	16.52088353	1013	1216	32
159	4	11.50391529	804	1026	5
160	2	13.3705338	810	929	11
161	7	21.10111766	955	1131	106
162	6	8.110293539	835	1216	20
163	4	9.55763406	728	1062	16
164	5	20.83070358	873	1137	79
165	9	10.11675044	790	852	4
166	11	7.150156029	803	576	23
167	4	9.380495518	793	1380	9
168	4	10.7319537	603	251	6
169	2	15.64948794	1018	1177	24
170	1	16.14873509	659	788	38
171	13	7.599134871	816	1026	5
172	1	10.16487943	756	844	22
173	2	23.41547259	784	619	26
174	0	16.35154224	978	999	67
175	2	11.95765114	908	1144	6
176	3	9.851416626	728	791	7
177	12	9.151706456	620	1676	19
178	5	15.44900166	734	1026	161
179	1	16.78661016	826	1649	102
180	15	14.47697643	905	1468	66
181	1	9.31668135	752	759	105
182	2	12.02820275	757	2748	23
183	0	16.98702089	870	1060	79
184	1	9.221291016	838	893	16
185	14	9.059286976	684	1189	27
186	8	12.5327702	837	543	7
187	1	19.52375016	877	972	26
188	15	20.08196723	680	1022	80
189	0	26.26131276	926	787	56
190	0	14.13641137	868	1082	87
191	6	11.94667291	861	886	14
192	4	8.794416845	788	927	9
193	16	7.441651561	784	1671	22
194	0	16.59164247	923	1056	44
195	0	28.92041198	955	1093	149
196	1	13.08485041	902	1037	20
197	2	8.540928916	865	1652	102
198	4	9.514424433	750	1040	18
199	1	25.14856252	830	852	51
200	3	15.77670806	816	1121	43
201	0	14.71633922	972	1011	80
202	14	9.280146658	653	1092	15
203	1	15.64888952	860	932	25
204	15	11.51111854	888	1091	83
205	1	13.42572998	852	950	47
206	2	13.2891647	853	777	17
207	4	9.566355184	617	892	9
208	1	10.69292618	925	1128	54
209	4	10.14951264	723	711	9
210	17	10.34622051	811	668	31
211	9	9.920588647	667	1331	21
212	7	16.22325297	954	1210	72
213	2	12.45301207	807	657	20
214	3	12.36706017	795	1158	33
215	5	13.84104229	780	1159	45
216	9	13.40465056	521	1231	14
217	2	16.19726607	909	1174	20
218	16	12.04208262	708	663	20
219	0	16.4311565	922	1209	115
220	10	10.35389568	861	822	22
221	0	16.52487864	814	1186	53
222	6	9.44583573	753	690	4
223	4	10.38910608	917	786	12
224	3	8.018142034	901	1179	29
225	1	11.23250856	864	1129	30
226	12	12.04014714	924	1157	78
227	3	9.350116993	744	1107	63
228	5	12.88686641	896	1283	62
229	5	12.36529427	857	1114	35
230	4	8.045238919	756	873	4
231	2	14.48709636	948	790	38
232	2	12.70063533	886	1256	21
233	2	12.69283077	903	1078	28
234	8	11.72642576	736	668	4
235	5	15.68537048	832	1213	60
236	4	10.33269229	862	761	4
237	1	12.72010536	871	932	50
238	5	16.96698423	744	1120	40
239	0	17.63274375	857	874	50
240	5	10.82680362	873	1527	29
241	2	16.77392395	865	881	21
242	7	22.51954464	932	978	82
243	1	12.70063533	887	825	150
244	1	10.06114766	854	1111	20
245	0	17.85285189	963	1180	91
246	1	22.76407151	667	1342	155
247	3	9.5219598	644	1190	105
248	0	15.13559164	879	1104	56
249	6	10.83483869	814	1021	16
250	7	17.82085136	808	829	42
251	5	15.34383581	879	1435	55
252	13	12.70012927	791	919	15
253	9	14.80397519	465	764	7
254	4	11.867666	685	796	18
255	2	10.32749754	822	1971	15
256	13	11.62195237	812	932	24
257	9	14.03142475	696	1167	22
258	3	9.48494968	707	1068	129
259	5	10.94888859	820	1364	57
260	9	9.025595765	623	458	6
261	8	8.246949452	808	888	8
262	5	20.81062111	885	1113	46
263	13	12.30112682	783	965	20
264	2	11.57973018	755	2786	14
265	10	11.60737776	823	1351	22
266	0	13.9001214	889	1597	38
267	4	10.70058826	657	941	17
268	5	13.67240245	894	1526	81
269	14	10.40825756	852	747	23
270	11	9.100932067	618	278	5
271	2	11.7250515	915	1205	26
272	2	14.42749088	877	1331	22
273	1	11.90540885	914	746	17
274	4	8.274713826	702	897	5
275	6	11.16763615	524	1196	10
276	3	13.8620835	856	1055	16
277	8	9.252026805	674	937	10
278	4	11.4954927	884	882	5
279	2	13.70110464	855	892	25
280	4	10.49108028	938	858	12
281	12	10.49093907	847	1486	11
282	1	12.8200813	828	892	29
283	0	26.4993415	912	1135	125
284	13	10.02327711	795	490	6
285	10	8.663897256	638	738	11
286	9	8.52278615	804	822	8
287	2	14.43028169	894	1247	27
288	16	12.68386655	824	1336	13
289	9	14.56323152	580	387	8
290	4	12.60226415	998	750	9
291	9	8.679737151	770	344	7
292	9	11.28043468	829	1025	17
293	6	14.30557341	720	967	13
294	16	18.0289693	827	763	23
295	2	11.91950629	943	756	16
296	1	9.582143058	807	731	21
297	3	12.55252595	771	698	13
298	7	15.25390121	815	855	49
299	10	10.39763982	639	1285	21
300	14	8.812685195	763	695	13
301	7	16.55376144	947	1949	51
302	1	17.25714579	775	1789	103
303	1	10.11175648	733	1551	71
304	4	13.72921257	695	771	10
305	0	14.87297592	949	1135	96
306	14	10.40803122	542	820	37
307	5	16.03905655	1003	1275	52
308	2	12.10837919	912	951	20
309	5	22.49345376	993	1322	64
310	9	10.40371018	847	1119	8
311	0	11.45440903	912	1092	34
312	1	11.89979113	608	880	26
313	7	13.80304254	845	927	49
314	4	12.25733238	996	729	14
315	1	13.82089136	880	1311	32
316	2	13.21851599	937	1370	39
317	0	19.34740019	941	1279	113
318	1	11.20808354	993	1172	19
319	1	12.54870429	926	597	26
320	0	15.68217473	1018	1019	48
321	5	20.32834688	999	1228	55
322	2	9.336116887	909	898	14
323	5	17.02195994	984	1517	52
324	6	10.35381053	876	742	11
325	4	10.5347841	691	950	5
326	17	11.40189244	740	830	9
327	1	12.99281229	862	783	16
328	4	12.22175667	746	640	5
329	1	17.81437222	869	715	45
330	8	15.47993791	550	2855	20
331	0	16.34008082	934	1167	53
332	9	11.07102002	532	600	4
333	0	16.07687021	962	1173	30
334	2	11.75445766	991	790	21
335	2	12.55356802	853	831	15
336	4	9.185169826	604	931	6
337	2	14.08500412	934	936	29
338	0	15.43815552	938	1161	69
339	2	12.5703908	851	1422	33
340	7	17.97876622	897	1632	61
341	13	8.818574831	862	1041	20
342	3	12.67805421	748	918	27
343	6	8.142071808	843	871	30
344	7	14.55281958	938	1055	81
345	0	14.65299026	897	1452	30
346	2	10.19033164	724	1058	26
347	13	9.658805898	653	814	12
348	14	14.35683411	880	1206	50
349	5	13.09789462	873	1019	58
350	1	16.76642925	863	1262	23
351	6	10.05402103	766	723	8
352	5	12.96769545	725	1022	26
353	4	9.87947868	662	1116	8
354	17	12.12591984	655	821	14
355	12	12.71090222	932	1173	41
356	0	22.48082004	947	1185	83
357	0	18.07692336	895	1260	39
358	18	10.24346975	624	831	10
359	18	9.90960691	816	696	22
360	14	9.528368178	757	573	20
361	0	18.84321394	794	1579	36
362	14	13.80961024	800	1546	10
363	9	9.206660578	717	775	8
364	3	10.97842973	652	247	7
365	9	12.18927961	742	531	8
366	2	11.02317147	988	848	22
367	1	9.789125511	905	963	12
368	4	12.68080535	913	1127	14
369	0	27.81125314	956	1051	126
370	2	10.8894093	852	2266	32
371	2	10.64322394	779	1854	15
372	5	13.06554962	878	1448	57
373	7	16.12827522	938	1013	28
374	7	14.14080926	929	1387	59
375	4	9.69502554	799	1076	18
376	0	23.95722933	973	1106	73
377	1	15.79346771	822	1006	22
378	13	11.82195631	788	1203	6
379	3	13.96886585	657	1689	19
380	8	7.322978647	758	531	6
381	5	18.65077743	952	1488	61
382	8	13.9080919	677	1231	12
383	15	16.91398564	876	1196	38
384	2	13.10829641	939	994	46
385	0	19.78678442	869	1188	145
386	12	19.23956386	723	1038	138
387	13	9.223777416	698	917	13
388	0	22.13220872	909	1221	87
389	5	23.94985271	973	1263	74
390	0	13.97670054	920	1273	54
391	8	11.60515847	770	504	5
392	6	13.07546863	955	1032	21
393	5	19.66997099	1010	1214	73
394	13	9.59222977	888	704	14
395	4	11.05301552	805	632	9
396	5	22.08954735	832	1411	114
397	14	8.654481711	683	855	9
398	4	9.456210683	843	828	8
399	0	14.78624337	972	1242	60
400	4	11.69058623	585	1103	9
401	5	14.41333101	863	1322	47
402	3	12.04468926	640	1338	16
403	7	12.6841141	844	1618	42
404	0	17.70375756	926	1119	89
405	3	18.52969157	807	1391	29
406	14	11.12589912	567	772	10
407	9	12.76133248	635	971	10
408	4	12.60932463	890	790	6
409	0	25.98018939	938	1149	122
410	0	19.50838419	858	1326	56
411	19	10.2114394	551	1029	22
412	1	12.93592004	829	844	28
413	2	12.54770565	895	1409	30
414	4	8.274713826	713	318	4
415	1	18.38477561	807	1079	98
416	0	11.46904351	893	1413	34
417	2	11.33039507	943	1231	11
418	5	24.80258675	874	1181	99
419	5	15.85290014	940	1768	53
420	9	11.35060779	560	575	5
421	1	10.02105402	1016	1227	24
422	0	17.8069779	1099	1197	72
423	5	20.96019949	974	1193	78
424	1	15.2457156	894	717	20
425	12	11.42471763	662	2478	53
426	1	10.62950585	883	939	36
427	5	26.48161193	919	1493	99
428	2	9.961715221	864	1055	22
429	4	12.27958538	751	1167	11
430	2	11.22847251	962	1011	18
431	8	12.46024949	778	2240	10
