	0_n	0_l	0_p	1_n	1_l	1_p	2_n	2_l	2_p	3_n	3_l	3_p	4_n	4_l	4_p	5_n	5_l	5_p	6_n	6_l	6_p	7_n	7_l	7_p	8_n	8_l	8_p	9_n	9_l	9_p	10_n	10_l	10_p	11_n	11_l	11_p	12_n	12_l	12_p	13_n	13_l	13_p	14_n	14_l	14_p	15_n	15_l	15_p	16_n	16_l	16_p	17_n	17_l	17_p	18_n	18_l	18_p	19_n	19_l	19_p
0	rpsC	3.0622594	0.0	nirS	5.6053033	0.0	rpsC	1.5359465	0.0	rhlA	1.85552	0.0	rhlA	0.6204616	1.5925867142086185e-79	pilA	2.566584	0.0	pslG	3.2459185	1.8465521605463244e-176	rpsC	2.5892146	0.0	rhlA	0.65690935	5.923743712144669e-49	fadB	2.3489807	3.934037304379155e-277	rhlA	0.85337174	1.6122847711360785e-63	pchF	6.3015876	1.7786e-320	rpsC	1.6149237	5.443639473158583e-202	napA	3.1851985	7.242093978764902e-67	fliC	3.4785233	0.0	rpsC	2.576445	1.6e-322	fliA	2.3205776	1.1995603000621008e-52	exoY	4.7719507	1.4526853843462044e-53	relA	4.2964683	2.715927216444879e-125	TriC	6.0331135	1.311519017680585e-34
1	rpoA	3.19602	0.0	norB	6.0457726	0.0	rpoA	1.3984593	0.0	lasB	2.529125	0.0	lasB	0.05520018	0.18026056465418344	hcnC	3.140574	0.0	rhlA	1.0545809	7.24226233698818e-155	rpoA	2.8120773	0.0	spuD	0.57827586	9.0451345974624e-16	rhlA	0.76726973	3.3838016095558145e-59	fnr_2	2.7210956	1.0094820771148619e-52	sodM	6.3997855	5.444825845245893e-118	cdrA	7.786122	1.000756527607449e-181	rhlR	2.5162969	3.1043628073446548e-46	rhlA	0.48301294	2.005777141881974e-17	rpoA	3.0299659	7.036793471125641e-271	htpX	1.08307	4.935675435140007e-18	exoT	3.6883087	1.112701531007077e-49	rhlA	0.9047994	7.256456493493069e-13	cysA	4.3838	6.541920400752984e-27
2	atpA	2.6424952	0.0	phzE1	3.5779042	0.0	atpA	0.3561786	1.4203845968954232e-35	aprA	2.26046	0.0	rpoS	0.031726427	0.3249298169861643	rpoA	1.7602152	0.0	mvfR	2.4429343	3.904466424843879e-108	atpA	2.5431166	0.0	rpoH	0.24323139	3.5156135350962678e-06	aceA	0.8862762	6.074738352283552e-22	pvdF	5.44323	1.6791761793915466e-48	rpoS	1.4432542	5.375672512013571e-110	rpoA	1.7661235	3.9385226128156896e-174	ccoN4	1.8795518	3.1581251763915736e-36	aprA	0.6521884	5.701656590823854e-16	atpA	2.461846	6.318214815562779e-186	rhlA	0.62270206	6.564193718740535e-17	rhlA	1.0591987	1.8592199106115948e-27	lasB	0.84664935	9.695994678103712e-08	gshB	0.81736535	0.16740617917647335
3	sucC	2.7461112	0.0	aprA	2.2541	0.0	pyrG	0.33256647	5.204340224196285e-19	lasA	3.5541453	0.0	aprA	-0.089849435	0.044228375131934	arcA	3.1108918	0.0	anr	1.1627506	4.6751854590449916e-54	sucC	2.6149895	0.0	lasB	0.11444127	0.045897962100691185	rpoS	0.24605614	1.7125017459073454e-07	rbsA	3.5016387	4.297175690871091e-45	rhlA	1.2020172	8.974526706283157e-96	pstS	4.992258	1.9801646897833373e-166	rhlA	0.58936745	8.482364382879341e-26	lasB	0.21320727	0.0032993535086788977	sucC	2.4809403	2.998972279587675e-168	OxyR	1.2274604	9.726792529557637e-09	aprA	1.4495546	9.012258970421038e-26	lasA	0.98935795	0.00025222424419203536	mexF	1.3474646	0.5696546230015842
4	clpX	1.6623127	0.0	rpoS	1.7420096	0.0	rho	0.32690245	5.1665385033003534e-08	rpoS	1.4714192	0.0	phzH	-2.0279303	0.0002494802766416362	sodB	1.6697555	0.0	dnr	2.090936	1.2886351409202506e-42	clpX	1.7580701	0.0	rpoS	0.04263282	0.34456153982925186	lasB	0.30225536	1.2762925712495817e-06	wspR	2.1637492	6.436338496086547e-45	lasA	2.00299	1.3043433088497515e-52	pyrG	1.1893033	2.2606698650615964e-63	lasB	0.6029199	7.67268014564668e-18	rpoS	0.1455274	0.01051368049249605	pyrG	2.4043922	1.336799013449503e-150	vgrG	2.2904716	0.0010990752737157848	lasB	1.3159766	3.188429534917264e-22	algU	3.3232853	0.0005237025153987522	amrB	0.8265561	0.6183763444314523
5	pyrG	2.1263998	0.0	nosZ	7.4866605	0.0	truB	0.3423263	1.421548961904736e-07	lasR	1.3605043	6.959587654111512e-233	impC	-0.6198445	1.6607140025771523e-07	ccoN2	4.9903293	0.0	aprA	0.6494148	2.0093335245921828e-32	pscC	5.972738	0.0	ptsP	-0.13011695	0.31645060508841405	aprA	0.3037062	3.4384106411423087e-06	uspM	2.3969705	6.160869748435136e-44	lasB	1.1866416	6.063374955064332e-42	truB	1.7750753	2.4014264246522567e-54	rhlI	1.2787362	1.2388275662784953e-15	PA14_48930	0.6749771	0.31966798555352915	rpoD	2.356335	3.5692281342087714e-136	rpoS	0.25515366	0.0011345913448744956	rpoS	0.70644504	5.384721115761475e-13	rpoS	0.43840116	0.0005237025153987522	vgrG	0.98775953	0.6504393873480667
6	pnp	2.3791292	0.0	hcnC	2.2021623	0.0	pnp	0.15714003	0.00018850277548583847	phzE1	1.7749782	5.1830820081380644e-229	lasR	-0.23811117	2.189435303438024e-08	sucC	1.6331183	0.0	pqsH	1.0304854	1.0998439174537245e-24	pyrG	2.0276124	5.39161543944736e-308	aprA	-0.1056835	0.07824217721628021	lasA	0.43033457	3.3563831629018305e-05	ackA	2.083323	1.7045139526079291e-34	rhlI	0.9600226	3.665939023861434e-07	pnp	1.1904753	1.8621630659945426e-47	aprA	0.40151432	8.937127302838765e-08	spoT	-1.0234132	0.31966798555352915	clpX	1.6977276	2.1545015162965113e-133	lasB	0.3160041	0.0017519735339189568	lasA	1.4787263	3.701207205150151e-11	aprA	0.4881483	0.004072806726843075	rhlA	0.09914461	0.6504393873480667
7	sodB	1.5572394	0.0	sodB	1.1823336	0.0	suhB	0.14434075	0.008268867444690164	impC	2.5195289	5.267187707269464e-95	PA14_48930	-1.6219993	6.198006428352274e-09	pqsC	3.5670495	4.80402636e-315	lasB	0.4978817	7.716125039738633e-22	rpoD	2.0198102	1.5009939226689414e-260	sigX	-0.18559127	0.012864790048015409	PA14_48930	0.18300231	0.6904799435324793	gpD	3.1243045	2.5793264812278333e-25	rhlR	0.8088892	3.9484190956277385e-05	rho	1.476906	2.9365282690034592e-46	katA	0.6032436	1.1447331801311348e-06	phzE1	-0.09364885	0.3144407062228394	pnp	2.4459915	5.649105795173763e-106	lasI	0.25411305	0.2973255328546658	lasR	0.7095754	1.892120848782441e-09	katB	1.448781	0.39593312222516786	exoT	0.3019167	0.6504393873480667
8	rpoD	2.0732784	0.0	arcA	1.8594892	3.5955785420752004e-302	rpoD	0.08506864	0.05281278947923341	hcnC	0.9430529	1.248164858810423e-71	spoT	-20.327518	4.030460678159459e-16	rpsC	1.3298503	9.6127538805e-314	rpoS	0.32141685	2.025359266934393e-15	pnp	2.0780656	1.476891306729264e-245	lasR	-0.32058114	6.600808038487387e-08	spoT	-1.6071568	0.05632222820057003	kgtP	2.501938	9.815765769593483e-24	rbsA	1.163398	4.232484307312186e-05	suhB	1.2065794	1.6977072183760937e-34	gshB	0.48069713	0.017713592776128093	pelA	-1.2383764	0.19527442171533116	suhB	2.6700873	9.756118112406924e-106	aprA	0.037114453	0.7312596671795686	phzE1	0.8671745	3.358064028267143e-08	uspA	0.14748979	0.5106857090944937	pelA	1.1421632	0.720871666684566
9	suhB	2.5094218	0.0	lasB	1.5838549	9.59941021772902e-284	ahpF	0.107228264	0.6188395826337081	arcA	0.938832	9.520921190330371e-70	pelA	-20.539816	2.048207748649006e-19	atpA	1.4126229	1.5365609089784353e-302	lasR	0.23579144	5.78827035595903e-06	sodB	1.4349823	3.761035634841452e-232	lasA	-0.52851677	1.4442837564194222e-08	amrB	-0.89987344	0.03038929291480698	lasB	0.4359389	5.772508704260774e-11	fnr_2	0.6271489	0.0028449345805652113	atpA	0.690928	1.429054243430113e-32	phzM	0.38250473	0.03639470928289004	vgrG	-0.756832	0.18667812166478928	kgtP	5.109847	2.330193129394636e-97	phzH	-0.41841695	0.7394830066425686	pscC	1.0662291	0.00042399814122567365	lasR	0.09103868	0.5806420366399246	katB	0.5813052	0.8371839461434737
10	pilA	1.6057245	0.0	phzM	4.8637915	1.479768542449757e-261	sucC	0.008039115	0.8032107433606077	uspA	0.97594875	4.902714542154101e-64	katB	-21.095337	1.6083868610290782e-24	vfr	2.1325898	4.5690657078711974e-282	lasA	0.23198642	0.008182366497763318	exoT	4.5207143	3.921796079241576e-198	PA14_48930	-2.2259066	1.6840660483409372e-09	pelA	-1.822122	0.019066129676672407	lasA	0.68803465	4.3577974888791087e-10	PA14_48930	1.9642516	0.020860117165115086	sigX	1.2141991	1.6998480808292044e-32	phzH	0.65982205	0.4771600654957239	katB	-1.7992449	0.02021847110032319	truB	2.9054255	2.5423686088348095e-92	ahpF	-0.60302943	0.22968618416186104	arcA	0.39523172	0.015474489699416616	phzE1	-0.0017605443	0.9924602436699009	fliA	0.095771246	0.8799459462592978
